Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,False,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,19.922633171081543,1,1,13
adult,111,0,EfficientBFS,density_gap,True,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,18.97174596786499,1,1,13
adult,111,0,EfficientBFS,probing,False,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,19.849657773971558,1,1,13
adult,111,0,EfficientBFS,probing,True,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,19.060328006744385,1,1,13
adult,111,0,EfficientBFS,traditional,False,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,19.564239740371704,1,1,13
adult,111,0,EfficientBFS,traditional,True,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,18.772042751312256,1,1,13
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,20.018216609954834,1,1,13
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,19.31807565689087,1,1,13
adult,111,0,EfficientBFS,density_gap,False,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,19.078416347503662,1,1,14
adult,111,0,EfficientBFS,density_gap,True,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,19.304116249084473,1,1,14
adult,111,0,EfficientBFS,probing,False,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,19.271580696105957,1,1,14
adult,111,0,EfficientBFS,probing,True,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,19.65595316886902,1,1,14
adult,111,0,EfficientBFS,traditional,False,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,19.996047973632812,1,1,14
adult,111,0,EfficientBFS,traditional,True,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,19.583515644073486,1,1,14
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,19.32880926132202,1,1,14
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,19.17308497428894,1,1,14
adult,111,0,EfficientBFS,density_gap,False,ub2,d,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,19.78883957862854,1,1,15
adult,111,0,EfficientBFS,density_gap,True,ub2,d,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,19.129793882369995,1,1,15
adult,111,0,EfficientBFS,probing,False,ub2,d,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,19.576082706451416,1,1,15
